gamehash,team,bank,loadout
3e3aff68-31ae-4dc1-a5ab-a3b002394753,B,11820,17120
a85c7311-b6ff-445a-8724-861394df9644,A,8467,18638
a85c7311-b6ff-445a-8724-861394df9644,B,4474,16464
18345291-7107-4122-9e2f-c6a206b33d51,A,7757,19138
18345291-7107-4122-9e2f-c6a206b33d51,B,9309,19843
8f146bbe-2d08-4bae-b844-c31ec9557b5f,A,7917,17791
8f146bbe-2d08-4bae-b844-c31ec9557b5f,B,5361,16774
ea69cfe1-83a7-47eb-82c2-8e847e6ed179,A,9867,17862
ea69cfe1-83a7-47eb-82c2-8e847e6ed179,B,10788,18338
f1acfdf5-4de6-44a9-a177-fe6cfa3b89f2,A,5940,16657
f1acfdf5-4de6-44a9-a177-fe6cfa3b89f2,B,10819,18793
04c95fc5-3ac4-4d63-a76f-3c703021c850,A,12329,19796
04c95fc5-3ac4-4d63-a76f-3c703021c850,B,5854,17619
655021f1-1653-472b-9bd8-06982035a591,A,6304,18228
655021f1-1653-472b-9bd8-06982035a591,B,10002,18672
f340deab-034f-4e6f-9a13-dbe0791e60d7,A,13889,17608
f340deab-034f-4e6f-9a13-dbe0791e60d7,B,7276,17071
8db293b3-80ae-4252-9712-70d3820225e5,A,5250,14638
8db293b3-80ae-4252-9712-70d3820225e5,B,15163,19434
291b5e5b-315a-48e4-b7b2-74b029d02c19,A,8330,17586
291b5e5b-315a-48e4-b7b2-74b029d02c19,B,14164,18239
104932e2-6c85-4b10-82ce-c328e094d124,A,8441,17632
104932e2-6c85-4b10-82ce-c328e094d124,B,8198,18789
c1644458-c2c7-42cd-9c75-caa4e943bb49,A,8259,19648
c1644458-c2c7-42cd-9c75-caa4e943bb49,B,9088,19982
2617844b-2f60-4860-8f7c-fc49dcf38d05,A,12548,18724
2617844b-2f60-4860-8f7c-fc49dcf38d05,B,9548,18050
caeee104-c219-422c-abef-b59e49c59513,A,17969,19444
caeee104-c219-422c-abef-b59e49c59513,B,4541,15106
4858cea7-6490-42bd-9876-798a52a7ca81,A,10195,19197
4858cea7-6490-42bd-9876-798a52a7ca81,B,5587,16479
7eff98d6-a226-4c32-822e-6c8410587f15,A,6846,17856
7eff98d6-a226-4c32-822e-6c8410587f15,B,8121,18717
2eb2d73d-b118-40ca-a3a7-9af7d7f37030,A,7427,17630
2eb2d73d-b118-40ca-a3a7-9af7d7f37030,B,12416,19289
4a211300-0de7-415c-8881-1b7de22f632a,A,6850,17000
4a211300-0de7-415c-8881-1b7de22f632a,B,9904,18465
4e3e56cb-2b61-4bd8-a73e-4e1135a8bf1b,A,12442,18358
4e3e56cb-2b61-4bd8-a73e-4e1135a8bf1b,B,7711,15808
b728be85-0ce2-4507-af59-7e06ce61a329,A,7780,17174
b728be85-0ce2-4507-af59-7e06ce61a329,B,8580,18763
4adcc7e2-d16a-4602-8239-4b47a76c321e,A,6337,16084
4adcc7e2-d16a-4602-8239-4b47a76c321e,B,8850,17966
c8425c32-fbe1-43b1-ac7c-9c2c623e5296,A,11107,17436
c8425c32-fbe1-43b1-ac7c-9c2c623e5296,B,9061,17505
eb7dadcb-435b-42fc-ad2a-c61a0f2506f0,A,8576,17512
eb7dadcb-435b-42fc-ad2a-c61a0f2506f0,B,7750,16498
a282edb4-e051-4d04-a97f-a1fcb5d08f4c,A,11941,17095
a282edb4-e051-4d04-a97f-a1fcb5d08f4c,B,8682,17861
67790c24-9c58-48cf-8775-cec161017498,A,8341,18398
67790c24-9c58-48cf-8775-cec161017498,B,6117,17285
84f09f16-6751-4097-ab19-da2dc56f1574,A,6938,16683
84f09f16-6751-4097-ab19-da2dc56f1574,B,12348,19155
3bbea165-9cfa-4c32-aaae-c53c7ee380b8,A,9633,19110
3bbea165-9cfa-4c32-aaae-c53c7ee380b8,B,10598,18812
58e24f2c-e02c-49e4-990e-1360b7532005,A,7839,17011
58e24f2c-e02c-49e4-990e-1360b7532005,B,10992,18964
68e30b92-f5f6-4e04-943e-08423d3864bc,A,6917,18925
68e30b92-f5f6-4e04-943e-08423d3864bc,B,7342,18188
4756d0b5-c375-45ca-abd6-dc48cf76c81e,A,8666,19670
4756d0b5-c375-45ca-abd6-dc48cf76c81e,B,4611,17991
4f64be54-fc7d-4827-b4cd-2d1c383af867,A,7920,18811
4f64be54-fc7d-4827-b4cd-2d1c383af867,B,7368,18677
93602b6f-b4d5-472e-a3b0-c372a13591f9,A,10370,19323
93602b6f-b4d5-472e-a3b0-c372a13591f9,B,11814,16202
47057dc8-a21e-41da-b089-9e3a8b8b1608,A,9441,19104
47057dc8-a21e-41da-b089-9e3a8b8b1608,B,9877,18461
5065762a-3b03-47e3-90bb-4d0c5a90dd36,A,9287,18550
5065762a-3b03-47e3-90bb-4d0c5a90dd36,B,11406,18746
1518d991-9dab-48e2-9875-64849b8da01a,A,9237,18368
1518d991-9dab-48e2-9875-64849b8da01a,B,7689,16863
ee32feb6-8b9d-4ee0-8dc3-6fe15af10f38,A,13433,18171
ee32feb6-8b9d-4ee0-8dc3-6fe15af10f38,B,8821,16971
514fca49-281b-4150-b9f4-98ce0c60616a,A,10181,19702
514fca49-281b-4150-b9f4-98ce0c60616a,B,11008,18873
