gamehash,name,discrim,team,agent,ACS,ECON,K,D,A,ADR,HSP,FK,FD,MK
4f13c6fc-f6d3-42ac-b804-296331fc82fe,bibimbop,6969,A,Killjoy,172,50,14,18,3,121.6,18,1,5,0
4f13c6fc-f6d3-42ac-b804-296331fc82fe,amypham2,5006,A,Sage,143,39,11,20,11,99.3,14,0,4,1
4f13c6fc-f6d3-42ac-b804-296331fc82fe,Zely,6969,B,Jett,319,77,29,20,4,208.5,23,8,3,2
4f13c6fc-f6d3-42ac-b804-296331fc82fe,Ω m1,2317,B,Reyna,243,64,21,18,8,180.9,39,3,0,1
4f13c6fc-f6d3-42ac-b804-296331fc82fe,kid curry,0330,B,Phoenix,234,66,21,16,6,160.7,17,5,2,1
4f13c6fc-f6d3-42ac-b804-296331fc82fe,Gabe Butsecs,69420,B,Astra,192,50,19,18,5,135.3,29,2,0,0
4f13c6fc-f6d3-42ac-b804-296331fc82fe,swangdaddy,0330,B,Sage,102,25,8,19,11,69.6,15,2,1,0
fede1563-858f-4760-bbd2-ff4fd244d165,honeyysweet,boba,A,Chamber,282,90,18,12,3,191.0,53,3,1,1
fede1563-858f-4760-bbd2-ff4fd244d165,speedyftw,iwnl,A,Raze,249,66,16,11,2,162.3,11,1,0,2
fede1563-858f-4760-bbd2-ff4fd244d165,AllPing,zoob,A,Astra,235,70,16,9,10,152.8,40,0,0,1
fede1563-858f-4760-bbd2-ff4fd244d165,young,revng,A,Reyna,216,65,13,12,7,145.8,7,3,7,1
fede1563-858f-4760-bbd2-ff4fd244d165,Benni,7505,A,Sage,161,34,11,12,4,91.8,11,2,1,1
fede1563-858f-4760-bbd2-ff4fd244d165,Aidxn,7907,B,Chamber,296,84,19,14,2,187.2,23,4,2,3
fede1563-858f-4760-bbd2-ff4fd244d165,KiroKirotsu,2856,B,Reyna,231,56,14,16,3,148.6,16,3,1,1
fede1563-858f-4760-bbd2-ff4fd244d165,ligger,nover,B,Sova,153,42,9,14,5,104.8,17,0,1,0
fede1563-858f-4760-bbd2-ff4fd244d165,Synesthesiac,1881,B,Brimstone,142,42,8,14,4,89.4,33,1,2,1
fede1563-858f-4760-bbd2-ff4fd244d165,FuhCaChu,6551,B,Jett,103,28,6,16,2,75.7,21,1,3,0
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,ryiu,6969,A,Reyna,373,105,24,10,3,236.6,31,2,1,3
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,BNyeTheSpy,NA1,A,Chamber,257,66,14,10,4,174.1,20,5,1,0
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,destro,4516,A,Phoenix,230,80,15,6,3,161.1,16,2,0,0
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,CptR3DBeard,4189,A,Skye,170,44,9,13,3,122.9,13,4,0,0
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,The Joshi,NA1,A,Brimstone,141,37,8,8,5,92.7,9,1,0,0
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,Vale,bop,B,Astra,333,89,18,12,5,224.8,31,0,1,3
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,BZ Icy,joe,B,Jett,233,75,11,14,2,142.3,14,1,4,2
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,Kiri,6955,B,Yoru,161,43,8,15,3,116.8,27,1,4,1
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,bigmoto,4009,B,Killjoy,130,41,6,14,1,95.7,10,0,1,0
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,amypham2,5006,B,Sage,113,28,4,15,8,75.6,0,0,4,0
a6b21338-fd2a-42d2-ade8-78e7c430d26b,i l l u m i,polog,A,Jett,343,93,16,7,3,214.8,16,1,1,1
a6b21338-fd2a-42d2-ade8-78e7c430d26b,bibimbop,6969,A,Reyna,285,73,12,9,2,185.3,29,5,2,1
a6b21338-fd2a-42d2-ade8-78e7c430d26b,Vale,bop,A,Astra,250,117,12,4,1,189.5,32,0,0,1
a6b21338-fd2a-42d2-ade8-78e7c430d26b,Jushy,NA1,A,Yoru,152,46,7,5,1,102.7,3,0,1,0
a6b21338-fd2a-42d2-ade8-78e7c430d26b,amypham2,5006,A,Sage,67,13,4,8,4,35.8,20,1,1,0
a6b21338-fd2a-42d2-ade8-78e7c430d26b,wonyoung,luvwy,B,Chamber,211,55,9,12,0,119.5,26,1,1,1
a6b21338-fd2a-42d2-ade8-78e7c430d26b,bone d3mon,yuhhh,B,Viper,175,51,6,10,4,123.5,14,1,0,0
a6b21338-fd2a-42d2-ade8-78e7c430d26b,Miggs,Like,B,Raze,163,45,8,10,1,104.7,8,0,3,0
a6b21338-fd2a-42d2-ade8-78e7c430d26b,Nathe,0047,B,Jett,163,50,7,9,2,116.8,11,2,1,1
a6b21338-fd2a-42d2-ade8-78e7c430d26b,KingSenpai,WClub,B,Sage,80,23,3,10,1,61.8,12,1,2,0
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,Hate Crimer,5113,A,Reyna,266,62,16,10,1,166.5,29,3,2,2
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,CrimsonKiller8,NA1,A,Viper,246,67,15,12,6,162.4,11,3,0,1
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,beans,poto,A,Sage,233,57,14,9,5,147.9,10,2,2,1
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,PredatoryPricing,bezos,A,Brimstone,203,64,14,7,2,128.1,17,0,1,1
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,nayr,kek,A,Jett,179,51,11,10,2,129.8,33,2,2,0
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,Synesthesiac,1881,B,Viper,235,59,14,12,2,136.3,17,2,1,2
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,Vale,bop,B,Reyna,230,70,13,14,3,153.4,22,0,1,2
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,bibimbop,6969,B,Cypher,174,48,9,14,2,112.9,32,4,3,0
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,amypham2,5006,B,Sage,149,47,8,14,2,101.0,8,1,4,0
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,bigmoto,4009,B,Killjoy,96,31,4,16,1,81.6,11,0,1,0
62ab5c38-4954-4e78-a68c-42adef5900e8,Bsting,lol,A,Chamber,388,102,24,8,1,244.7,30,4,3,5
62ab5c38-4954-4e78-a68c-42adef5900e8,Vale,bop,A,Reyna,278,79,20,7,4,180.1,22,4,0,1
62ab5c38-4954-4e78-a68c-42adef5900e8,Synesthesiac,1881,A,KAY/O,263,57,16,10,7,156.6,29,4,0,2
62ab5c38-4954-4e78-a68c-42adef5900e8,Quixotixxx,0000,A,Brimstone,125,35,7,10,7,85.3,10,1,0,1
62ab5c38-4954-4e78-a68c-42adef5900e8,amypham2,5006,A,Sage,102,24,7,12,8,66.9,10,0,2,1
62ab5c38-4954-4e78-a68c-42adef5900e8,Houken,9160,B,Jett,233,69,14,14,0,145.9,29,2,5,2
62ab5c38-4954-4e78-a68c-42adef5900e8,Kaido,uwu,B,Sova,209,65,11,14,1,140.9,24,0,0,1
62ab5c38-4954-4e78-a68c-42adef5900e8,Muichiro,nom,B,Raze,149,46,9,15,0,102.7,21,1,3,1
62ab5c38-4954-4e78-a68c-42adef5900e8,Hungry Filipino,NA1,B,Astra,123,33,7,15,1,80.7,35,2,4,0
62ab5c38-4954-4e78-a68c-42adef5900e8,Panda,2128,B,Killjoy,123,40,6,16,4,92.9,5,0,1,1
77b89a9a-fad6-416d-94d1-050722e49301,Synesthesiac,1881,A,Brimstone,342,97,23,7,8,220.8,24,4,1,2
77b89a9a-fad6-416d-94d1-050722e49301,stryker2thepeter,NA1,A,Raze,337,68,20,17,10,213.6,8,3,2,1
77b89a9a-fad6-416d-94d1-050722e49301,Vale,bop,A,Reyna,325,99,23,11,3,215.1,25,2,1,3
77b89a9a-fad6-416d-94d1-050722e49301,amypham2,5006,A,Sage,148,46,12,12,1,107.2,18,1,1,0
77b89a9a-fad6-416d-94d1-050722e49301,bigmoto,4009,A,Killjoy,71,33,3,12,2,79.7,17,0,4,0
77b89a9a-fad6-416d-94d1-050722e49301,Steven,Bae,B,Reyna,216,51,15,15,3,125.3,14,0,1,2
77b89a9a-fad6-416d-94d1-050722e49301,Kaden Fan,360,B,Cypher,211,48,15,17,4,121.6,14,1,0,1
77b89a9a-fad6-416d-94d1-050722e49301,pushin P,DRAKE,B,Brimstone,185,45,11,17,14,122.3,18,2,4,0
77b89a9a-fad6-416d-94d1-050722e49301,Brennan,BOBA,B,Killjoy,166,48,9,16,5,119.6,21,1,1,1
77b89a9a-fad6-416d-94d1-050722e49301,Anthony,ASIAN,B,Phoenix,162,42,9,16,6,105.6,25,5,4,1
0a13630a-6e89-4913-acb6-7461d830b1e5,Fishbait,3942,A,Reyna,418,139,24,7,3,270.1,29,4,2,3
0a13630a-6e89-4913-acb6-7461d830b1e5,Meira,NA1,A,Chamber,273,88,15,7,2,171.9,14,3,2,1
0a13630a-6e89-4913-acb6-7461d830b1e5,Vale,bop,A,Jett,210,65,14,8,0,135.4,30,1,1,1
0a13630a-6e89-4913-acb6-7461d830b1e5,Iniquitous,NA1,A,Viper,181,67,10,8,5,126.8,32,3,0,0
0a13630a-6e89-4913-acb6-7461d830b1e5,Icoboob,NA1,A,Skye,100,51,6,4,5,73.8,44,0,0,0
0a13630a-6e89-4913-acb6-7461d830b1e5,PullOutKing,626,B,Yoru,203,53,10,13,1,130.1,24,1,1,0
0a13630a-6e89-4913-acb6-7461d830b1e5,trąsh panda,NA1,B,Breach,183,44,10,14,3,113.8,28,1,3,1
0a13630a-6e89-4913-acb6-7461d830b1e5,klxxsb,NA1,B,Viper,157,45,5,14,6,108.5,9,1,1,0
0a13630a-6e89-4913-acb6-7461d830b1e5,jelie bean,0000,B,KAY/O,96,27,3,15,5,71.2,10,1,5,0
0a13630a-6e89-4913-acb6-7461d830b1e5,dübu,NA1,B,Jett,92,24,6,13,1,57.0,13,1,1,1
377fc78f-c1b4-43fc-aa91-9616414c80b3,que,6591,A,Reyna,311,115,19,9,3,217.6,29,3,4,3
377fc78f-c1b4-43fc-aa91-9616414c80b3,CmdTueller,3141,A,Omen,276,74,17,9,2,167.2,27,2,1,2
377fc78f-c1b4-43fc-aa91-9616414c80b3,Beseburger,2866,A,Sova,233,69,14,12,5,176.0,21,3,0,1
377fc78f-c1b4-43fc-aa91-9616414c80b3,NOFUNHAVEMEOKAY,8051,A,Jett,186,107,10,6,5,139.5,17,3,0,0
377fc78f-c1b4-43fc-aa91-9616414c80b3,Stinkyy,SIMP,A,Sage,179,58,12,8,1,126.3,31,0,1,1
377fc78f-c1b4-43fc-aa91-9616414c80b3,Vale,bop,B,Reyna,267,71,17,12,2,173.4,36,1,3,1
377fc78f-c1b4-43fc-aa91-9616414c80b3,schwiffty,9819,B,Jett,174,49,9,16,4,119.2,12,3,3,2
377fc78f-c1b4-43fc-aa91-9616414c80b3,Sáun,NA1,B,Sova,153,37,9,15,2,93.7,13,1,3,1
377fc78f-c1b4-43fc-aa91-9616414c80b3,MisterFlappy,NA1,B,Omen,118,38,5,14,2,92.0,3,0,0,0
377fc78f-c1b4-43fc-aa91-9616414c80b3,amypham2,5006,B,Sage,102,31,4,15,13,74.9,8,1,2,0
bd0fe8a7-c590-4836-9f59-2fbad425a88c,DinkleBerg1324,NA1,A,Jett,405,131,24,8,5,254.9,16,4,0,2
bd0fe8a7-c590-4836-9f59-2fbad425a88c,Synesthesiac,1881,A,Brimstone,248,64,13,12,11,171.0,24,0,1,1
bd0fe8a7-c590-4836-9f59-2fbad425a88c,KingRazberry,JAM,A,Killjoy,211,53,11,12,5,150.9,22,2,2,0
bd0fe8a7-c590-4836-9f59-2fbad425a88c,FindingZimo,NA1,A,Sage,197,49,12,11,14,116.5,21,2,1,0
bd0fe8a7-c590-4836-9f59-2fbad425a88c,TheRimReaper,7750,A,Reyna,165,36,11,13,2,101.4,16,2,3,0
bd0fe8a7-c590-4836-9f59-2fbad425a88c,random no one,NA1,B,Phoenix,254,63,14,14,2,148.9,17,4,4,1
bd0fe8a7-c590-4836-9f59-2fbad425a88c,Toast,7070,B,Sova,228,68,12,14,3,164.1,15,1,2,1
bd0fe8a7-c590-4836-9f59-2fbad425a88c,RaRa,0101,B,Reyna,206,61,12,14,3,147.2,22,2,1,0
bd0fe8a7-c590-4836-9f59-2fbad425a88c,Dileuz,1100,B,Chamber,182,53,9,15,2,128.9,10,0,0,0
bd0fe8a7-c590-4836-9f59-2fbad425a88c,Megacoom12,7109,B,Brimstone,169,45,9,14,4,102.0,10,0,3,0
74a79412-faa1-4774-9665-90f0041d9be0,dean,1102,A,Reyna,363,76,28,16,6,236.8,28,3,4,5
74a79412-faa1-4774-9665-90f0041d9be0,mrsbank,EU1,A,Viper,232,77,16,12,6,161.1,21,1,0,3
74a79412-faa1-4774-9665-90f0041d9be0,Jjang,kek,A,Jett,222,51,17,14,2,133.3,39,5,3,2
74a79412-faa1-4774-9665-90f0041d9be0,Synesthesiac,1881,A,Skye,129,34,9,14,6,81.1,31,0,4,0
74a79412-faa1-4774-9665-90f0041d9be0,UrMomsEx,559,A,Sova,128,36,9,14,3,90.0,14,0,2,0
74a79412-faa1-4774-9665-90f0041d9be0,Juul,6558,B,Raze,268,69,19,16,5,191.6,18,5,3,0
74a79412-faa1-4774-9665-90f0041d9be0,poopman,2361,B,Chamber,198,55,16,18,2,131.7,38,5,3,1
74a79412-faa1-4774-9665-90f0041d9be0,AWESOME EPIC MAN,6969,B,Sova,195,53,15,13,2,138.6,26,0,1,2
74a79412-faa1-4774-9665-90f0041d9be0,Patrix302,8440,B,Jett,173,48,13,17,0,116.0,24,2,2,0
74a79412-faa1-4774-9665-90f0041d9be0,Ryce,6663,B,Astra,102,24,7,15,7,69.2,19,1,0,0
e3772052-7018-4401-aaaa-0d5b6b302617,Feed Me,5682,A,Jett,370,100,30,18,9,247.8,34,4,1,5
e3772052-7018-4401-aaaa-0d5b6b302617,heezypeezy,donut,A,Reyna,266,69,22,16,5,176.2,18,5,1,1
e3772052-7018-4401-aaaa-0d5b6b302617,bibimbop,6969,A,Viper,229,61,20,17,3,162.2,28,2,2,0
e3772052-7018-4401-aaaa-0d5b6b302617,WarMachineJM,1990,A,Sova,114,28,9,17,7,76.8,11,1,2,0
e3772052-7018-4401-aaaa-0d5b6b302617,amypham2,5006,A,Sage,108,23,9,18,11,64.5,15,2,4,0
e3772052-7018-4401-aaaa-0d5b6b302617,Omerte,8459,B,Sova,334,101,26,17,7,228.4,18,1,0,3
e3772052-7018-4401-aaaa-0d5b6b302617,KomeKado,Magic,B,Chamber,259,78,22,18,7,170.0,14,0,0,2
e3772052-7018-4401-aaaa-0d5b6b302617,snaz,diff,B,Reyna,206,55,16,15,3,145.8,27,3,2,1
e3772052-7018-4401-aaaa-0d5b6b302617,Reynoldss,NA1,B,Jett,163,41,13,20,5,111.6,23,4,5,1
e3772052-7018-4401-aaaa-0d5b6b302617,NotLiimbo,7363,B,Brimstone,120,27,9,20,7,75.0,15,2,7,0
7cddf7ec-1520-467f-9a65-54ff32723f15,TheUnRoyalKing,NA1,A,Viper,429,97,23,9,4,241.0,18,2,0,4
7cddf7ec-1520-467f-9a65-54ff32723f15,Phat Ming,6588,A,Jett,322,97,19,7,1,188.8,25,2,1,3
7cddf7ec-1520-467f-9a65-54ff32723f15,Arktouros,9165,A,Sova,261,94,14,5,8,157.1,16,2,2,2
7cddf7ec-1520-467f-9a65-54ff32723f15,AltMotive,8637,A,Yoru,211,60,10,9,7,148.2,13,4,2,0
7cddf7ec-1520-467f-9a65-54ff32723f15,Elevated,3870,A,Chamber,133,50,7,9,3,90.1,14,0,0,0
7cddf7ec-1520-467f-9a65-54ff32723f15,JDU,NA1,B,Reyna,207,50,12,14,1,127.5,25,0,2,2
7cddf7ec-1520-467f-9a65-54ff32723f15,abgslayer,69420,B,Jett,202,53,11,14,3,117.0,18,2,4,1
7cddf7ec-1520-467f-9a65-54ff32723f15,Jushy,NA1,B,Astra,162,46,6,15,3,111.3,8,0,0,0
7cddf7ec-1520-467f-9a65-54ff32723f15,Nillert,0110,B,Sova,152,54,5,15,5,129.9,14,3,3,0
7cddf7ec-1520-467f-9a65-54ff32723f15,amypham2,5006,B,Sage,135,35,5,15,7,93.5,15,0,1,0
154142f7-b725-4e95-9763-cf62e5338e70,JREIGN7,2398,A,KAY/O,338,69,26,14,7,196.3,18,5,1,3
154142f7-b725-4e95-9763-cf62e5338e70,Shtuckey,NA1,A,Reyna,281,73,19,15,5,181.5,16,6,3,0
154142f7-b725-4e95-9763-cf62e5338e70,White T Poison,0000,A,Chamber,201,76,14,15,4,142.7,21,2,1,0
154142f7-b725-4e95-9763-cf62e5338e70,Vale,bop,A,Astra,200,78,15,11,4,141.8,47,1,1,0
154142f7-b725-4e95-9763-cf62e5338e70,amypham2,5006,A,Sage,122,25,8,15,14,69.9,8,0,1,0
154142f7-b725-4e95-9763-cf62e5338e70,YELLOWRACECAR891,FAST,B,Raze,289,69,20,18,5,189.9,26,3,0,2
154142f7-b725-4e95-9763-cf62e5338e70,SHENHE SUPREMACY,cake,B,Reyna,197,53,12,17,3,138.9,27,1,6,1
154142f7-b725-4e95-9763-cf62e5338e70,dawn dish soap,deac,B,Viper,185,48,15,14,4,104.6,12,1,2,1
154142f7-b725-4e95-9763-cf62e5338e70,Uni,0420,B,Skye,177,41,14,15,6,104.8,22,0,3,0
154142f7-b725-4e95-9763-cf62e5338e70,eequalsmcsquared,000,B,Chamber,168,42,9,18,8,109.2,17,2,3,0
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Ray,9386,A,KAY/O,278,70,20,14,10,180.1,25,4,3,4
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Neolyse,NA1,A,Reyna,278,74,19,16,4,184.7,19,4,3,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,soogah,3201,A,Sova,227,68,16,12,5,160.3,15,1,0,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Jboss,5694,A,Chamber,207,55,17,13,4,116.5,5,2,1,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,derptarts,NA0,A,Viper,148,38,11,13,5,90.6,16,1,2,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,MisterFlappy,NA1,B,Reyna,238,74,15,15,4,159.7,13,2,2,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Synesthesiac,1881,B,Brimstone,230,62,15,17,5,150.8,18,4,4,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Vale,bop,B,Skye,223,56,17,18,3,148.1,35,1,2,2
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,amypham2,5006,B,Sage,144,36,10,17,3,93.2,21,2,2,0
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,rawr,5347,B,Cypher,139,36,11,16,2,91.8,12,0,2,0
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Pervy Sage,Tuans,A,Omen,286,69,25,18,6,183.5,25,3,1,2
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Idoyz,Rish,A,Jett,255,67,26,18,3,177.9,31,4,4,2
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Synesthesiac,1881,A,KAY/O,242,63,19,18,11,162.6,18,3,2,2
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Singhmoire,NA1,A,Chamber,194,56,16,14,7,125.5,35,4,3,1
b9669dba-c2ca-4bed-82ab-6976e7536c8b,FindingZimo,NA1,A,Sage,153,33,14,17,8,99.1,15,1,1,0
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Ålvín,NA1,B,Jett,305,72,27,18,4,186.8,26,2,2,5
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Bonsai,7997,B,Astra,199,50,17,20,4,133.0,20,2,3,2
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Sigma,VTC,B,Reyna,175,44,15,21,4,122.8,30,2,6,1
b9669dba-c2ca-4bed-82ab-6976e7536c8b,JaronsBabySitter,2041,B,Sage,173,41,13,21,9,111.2,20,2,4,1
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Habibi,luul,B,Skye,149,37,13,20,5,93.3,22,3,0,0
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Bronald Poffman,gamer,A,Reyna,346,65,29,18,6,221.2,18,8,2,2
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,marky,xdlol,A,Chamber,304,60,27,19,2,190.7,29,3,4,3
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Gusss,9580,A,Sova,251,62,20,13,10,186.8,21,2,1,3
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,JMin,NA1,A,Viper,172,36,14,15,7,109.8,24,1,0,0
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,ISpyAnAquaMeat,Aqua,A,Skye,56,55,5,4,4,34.4,15,1,2,0
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Synesthesiac,1881,B,Viper,194,56,18,18,5,138.7,24,3,3,1
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Prango,Deece,B,Jett,181,46,15,20,5,128.7,14,2,5,1
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,brewhaus,BM28,B,Sova,163,49,12,18,8,123.4,6,1,0,0
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Zeuce,NA1,B,Reyna,157,36,13,20,5,98.0,9,1,2,1
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,HornyBrazilMan,brzil,B,Chamber,146,41,11,19,4,104.5,22,2,5,0
